Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobLevel,JobSatisfaction,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
39,No,Travel_Rarely,1,3,Medical,Male,48,3,4,Divorced,0,19,2,18,3
36,No,Non-Travel,24,4,Life Sciences,Female,47,2,2,Married,7,11,3,9,0
32,No,Travel_Rarely,7,3,Life Sciences,Male,91,2,3,Married,1,13,2,13,4
38,No,Travel_Rarely,25,2,Life Sciences,Female,81,3,2,Married,3,19,3,10,0
58,No,Non-Travel,1,4,Life Sciences,Male,32,2,3,Divorced,2,12,3,5,1
31,No,Travel_Rarely,5,4,Technical Degree,Male,86,1,4,Married,0,6,3,5,0
31,No,Travel_Rarely,2,3,Human Resources,Male,62,2,1,Married,3,9,3,2,1
45,No,Travel_Frequently,7,3,Life Sciences,Male,97,3,1,Divorced,1,24,3,24,9
31,No,Travel_Rarely,2,4,Life Sciences,Male,32,1,4,Divorced,0,3,1,2,2
33,No,Travel_Frequently,5,4,Life Sciences,Female,74,3,2,Married,6,12,3,10,8
39,No,Travel_Rarely,10,1,Medical,Male,99,4,1,Married,1,21,3,21,11
43,No,Travel_Frequently,10,4,Life Sciences,Female,33,1,4,Single,0,9,3,8,1
49,No,Travel_Rarely,1,2,Technical Degree,Female,90,4,3,Single,7,25,3,7,0
52,Yes,Travel_Rarely,8,4,Medical,Male,85,2,2,Married,2,11,2,8,7
27,No,Travel_Rarely,5,3,Life Sciences,Female,85,1,2,Single,1,4,2,4,1
32,No,Travel_Rarely,8,2,Technical Degree,Female,65,2,2,Married,1,13,3,13,11
27,No,Travel_Rarely,2,3,Life Sciences,Male,74,2,3,Single,1,5,3,5,0
31,No,Travel_Rarely,7,3,Marketing,Male,73,2,4,Divorced,4,13,3,7,1
32,No,Travel_Rarely,2,4,Medical,Female,74,2,4,Single,7,10,2,7,0
28,Yes,Travel_Rarely,2,4,Medical,Male,84,1,4,Married,5,5,2,3,2
30,No,Travel_Rarely,28,2,Medical,Female,64,2,4,Married,1,11,3,10,1
31,No,Travel_Frequently,7,2,Life Sciences,Female,48,3,3,Married,1,10,3,10,8
39,No,Travel_Frequently,7,2,Medical,Male,54,5,4,Married,1,21,3,21,13
39,Yes,Travel_Rarely,3,2,Medical,Female,41,2,3,Married,4,12,2,1,0
33,No,Travel_Frequently,10,3,Marketing,Male,46,2,4,Single,3,9,2,7,0
47,No,Travel_Rarely,5,5,Life Sciences,Male,42,5,3,Married,4,21,3,3,1
43,No,Travel_Frequently,10,4,Life Sciences,Female,82,2,3,Divorced,1,9,4,9,0
27,No,Non-Travel,1,1,Marketing,Male,73,2,2,Married,0,6,3,5,1
54,No,Travel_Frequently,20,4,Life Sciences,Female,31,2,3,Single,3,20,2,4,0
43,No,Travel_Rarely,7,3,Life Sciences,Female,43,3,1,Married,8,10,2,1,0
45,No,Travel_Rarely,8,4,Other,Male,75,2,4,Married,9,12,3,10,9
40,No,Travel_Rarely,1,2,Medical,Male,57,2,4,Married,2,6,2,4,0
29,Yes,Travel_Rarely,8,4,Other,Male,77,1,1,Married,1,7,2,7,0
29,No,Travel_Rarely,9,5,Other,Male,30,1,4,Single,0,4,3,3,2
30,No,Travel_Rarely,5,3,Marketing,Female,30,2,3,Divorced,1,10,3,10,1
27,No,Travel_Rarely,8,4,Marketing,Female,56,2,2,Married,1,8,3,8,0
37,No,Travel_Rarely,5,2,Medical,Male,61,2,4,Divorced,7,8,2,6,0
38,No,Travel_Rarely,15,2,Life Sciences,Male,92,3,4,Divorced,0,12,3,11,2
31,No,Travel_Rarely,7,4,Medical,Female,39,3,4,Single,1,11,2,11,4
29,No,Travel_Rarely,10,1,Marketing,Female,39,2,2,Divorced,1,7,3,7,1
35,No,Travel_Rarely,5,4,Technical Degree,Male,62,3,2,Single,0,17,3,16,0
23,No,Travel_Rarely,26,1,Life Sciences,Male,83,1,4,Divorced,1,4,2,4,0
41,No,Travel_Rarely,6,3,Medical,Male,95,2,2,Single,6,8,3,5,1
47,No,Travel_Frequently,4,1,Medical,Male,99,2,3,Single,3,5,3,0,0
42,No,Travel_Rarely,23,5,Life Sciences,Female,44,4,4,Single,2,16,3,1,0
29,No,Non-Travel,2,3,Life Sciences,Male,61,2,3,Married,1,4,2,4,0
42,No,Travel_Rarely,2,1,Technical Degree,Male,52,1,3,Divorced,0,4,3,3,1
32,No,Travel_Rarely,2,3,Medical,Female,75,1,2,Married,1,8,3,8,0
48,No,Travel_Rarely,29,1,Medical,Female,91,3,3,Married,3,15,1,0,0
37,No,Travel_Rarely,6,3,Medical,Male,51,2,1,Divorced,4,13,3,7,6
30,No,Non-Travel,25,2,Technical Degree,Female,85,2,3,Married,7,4,4,2,2
26,No,Travel_Rarely,1,3,Life Sciences,Male,57,2,3,Married,1,8,3,8,7
42,No,Travel_Rarely,2,4,Other,Male,98,2,4,Single,3,14,3,1,0
21,Yes,Travel_Frequently,1,1,Technical Degree,Female,99,1,2,Single,1,3,3,3,1
36,No,Non-Travel,1,5,Medical,Female,45,2,4,Single,4,7,3,1,0
36,No,Travel_Frequently,3,4,Medical,Male,48,3,4,Married,4,16,3,13,1
57,No,Travel_Rarely,1,4,Medical,Male,88,2,3,Married,2,15,3,3,1
40,No,Travel_Rarely,10,4,Life Sciences,Female,46,1,3,Married,3,10,3,7,1
21,No,Non-Travel,9,2,Medical,Male,39,1,4,Single,1,3,2,3,2
33,Yes,Travel_Rarely,5,3,Marketing,Female,34,1,3,Single,1,1,3,1,0
37,No,Travel_Rarely,10,3,Medical,Female,98,1,1,Married,6,17,3,5,0
46,No,Non-Travel,7,4,Medical,Female,30,2,3,Married,2,7,4,1,0
41,Yes,Travel_Frequently,4,3,Marketing,Male,56,2,2,Single,1,8,3,8,7
50,No,Travel_Rarely,10,3,Technical Degree,Male,100,3,4,Single,6,20,3,4,1
40,Yes,Travel_Rarely,22,2,Marketing,Male,68,2,3,Married,2,8,3,6,1
31,No,Travel_Rarely,9,4,Life Sciences,Male,42,1,2,Single,0,3,3,2,2
21,Yes,Travel_Rarely,12,3,Life Sciences,Female,90,1,2,Single,1,1,3,1,0
29,No,Travel_Rarely,23,3,Life Sciences,Male,54,1,4,Single,9,6,3,3,1
35,No,Travel_Rarely,9,4,Life Sciences,Male,97,2,2,Single,9,10,3,1,0
27,No,Travel_Rarely,1,2,Medical,Male,82,1,2,Divorced,1,5,3,5,0
28,No,Travel_Rarely,9,4,Life Sciences,Male,92,2,4,Single,1,7,3,7,0
49,No,Travel_Rarely,7,3,Other,Male,31,3,3,Single,8,26,3,5,0
51,No,Travel_Rarely,14,2,Life Sciences,Female,87,2,4,Married,4,18,2,7,0
36,No,Travel_Rarely,2,3,Life Sciences,Female,96,1,3,Married,4,6,3,2,2
34,Yes,Non-Travel,19,3,Marketing,Male,67,2,4,Single,8,9,2,5,0
55,No,Travel_Rarely,2,3,Life Sciences,Female,97,4,4,Single,2,30,3,5,1
24,No,Travel_Rarely,10,4,Marketing,Female,77,2,3,Divorced,1,5,4,5,0
30,No,Travel_Rarely,2,1,Technical Degree,Male,72,1,2,Married,1,1,3,1,0
26,Yes,Travel_Frequently,3,1,Technical Degree,Male,73,1,1,Single,0,7,3,6,0
22,No,Travel_Rarely,11,3,Medical,Female,43,1,2,Married,1,2,3,2,1
36,No,Travel_Rarely,2,2,Medical,Male,61,3,3,Married,1,10,3,10,9
30,Yes,Travel_Frequently,4,3,Technical Degree,Male,40,1,4,Single,9,3,3,1,0
37,No,Travel_Rarely,14,3,Life Sciences,Female,95,1,1,Divorced,1,18,2,18,12
40,No,Travel_Rarely,2,2,Marketing,Female,46,2,2,Divorced,7,8,3,5,1
42,No,Travel_Rarely,1,4,Life Sciences,Female,95,1,1,Divorced,3,8,3,5,1
37,No,Travel_Rarely,10,4,Life Sciences,Male,49,2,2,Single,2,18,2,1,0
43,No,Travel_Rarely,12,3,Life Sciences,Male,59,4,2,Divorced,1,25,3,25,3
40,No,Travel_Rarely,2,3,Medical,Female,78,2,3,Married,6,20,3,1,0
54,No,Travel_Rarely,5,2,Medical,Male,86,5,1,Married,4,24,2,4,1
34,No,Non-Travel,4,4,Marketing,Female,72,2,3,Married,9,6,3,3,1
31,No,Travel_Rarely,7,2,Medical,Female,31,2,1,Married,1,13,1,13,3
43,No,Travel_Frequently,21,3,Medical,Male,61,1,4,Married,7,8,3,3,1
43,No,Travel_Rarely,8,4,Other,Female,74,2,3,Divorced,4,8,3,5,0
25,No,Travel_Rarely,4,2,Life Sciences,Female,99,2,4,Single,1,5,3,5,1
37,No,Non-Travel,25,5,Medical,Female,72,2,3,Married,3,15,3,13,10
31,No,Travel_Rarely,1,2,Life Sciences,Male,98,1,1,Married,1,4,3,4,3
39,No,Travel_Frequently,1,1,Life Sciences,Male,52,5,3,Divorced,1,21,3,21,1
56,No,Travel_Frequently,6,3,Life Sciences,Female,86,4,1,Married,9,36,2,7,7
30,No,Travel_Rarely,12,3,Technical Degree,Female,83,2,3,Single,0,6,3,5,4
41,No,Travel_Rarely,1,3,Marketing,Male,49,3,1,Married,1,10,3,10,0
28,No,Travel_Rarely,17,2,Medical,Male,79,2,1,Divorced,1,10,3,10,1
25,Yes,Travel_Rarely,3,3,Medical,Male,91,1,1,Married,5,6,3,2,0
52,No,Travel_Rarely,3,3,Medical,Male,39,3,3,Married,2,28,3,5,0
45,No,Travel_Rarely,10,2,Life Sciences,Male,69,1,4,Married,3,8,2,2,0
52,No,Travel_Rarely,4,2,Life Sciences,Female,30,4,4,Married,2,31,1,5,1
42,No,Travel_Frequently,29,2,Life Sciences,Female,92,2,3,Divorced,2,19,3,5,0
30,No,Travel_Rarely,2,3,Life Sciences,Female,43,2,4,Single,2,11,3,5,0
60,No,Travel_Rarely,7,3,Life Sciences,Female,41,5,1,Married,5,33,1,29,11
46,No,Travel_Rarely,18,3,Medical,Female,87,2,3,Divorced,2,19,2,10,0
42,No,Travel_Frequently,28,4,Technical Degree,Female,88,2,4,Married,0,7,4,6,0
24,Yes,Travel_Rarely,1,1,Technical Degree,Female,62,1,2,Single,1,6,3,5,1
34,Yes,Travel_Frequently,6,2,Marketing,Female,33,1,3,Divorced,0,3,2,2,1
38,No,Travel_Frequently,2,2,Life Sciences,Male,42,1,4,Married,1,1,3,1,0
40,No,Travel_Rarely,2,4,Life Sciences,Female,79,5,3,Married,0,21,3,20,1
26,No,Travel_Rarely,23,3,Life Sciences,Female,90,1,4,Divorced,1,3,1,3,0
30,No,Non-Travel,3,3,Life Sciences,Male,53,1,4,Married,4,9,1,5,1
29,No,Travel_Rarely,3,4,Medical,Male,93,3,3,Married,1,10,3,10,0
29,Yes,Travel_Rarely,25,5,Technical Degree,Female,71,1,2,Married,5,6,4,2,1
19,Yes,Travel_Rarely,2,2,Technical Degree,Male,52,1,4,Single,1,1,4,1,0
30,No,Non-Travel,22,4,Other,Female,69,3,1,Married,0,10,3,9,7
57,No,Travel_Rarely,29,3,Marketing,Male,56,4,4,Divorced,3,32,2,1,0
50,No,Travel_Rarely,29,4,Life Sciences,Male,88,4,3,Married,0,28,3,27,15
30,No,Non-Travel,2,3,Medical,Female,49,1,4,Single,0,12,2,11,6
60,No,Travel_Frequently,28,3,Marketing,Female,80,3,1,Married,4,22,4,18,13
47,No,Travel_Rarely,2,2,Medical,Female,65,2,4,Divorced,5,20,3,5,0
46,No,Travel_Rarely,2,3,Life Sciences,Male,51,4,3,Married,6,26,1,3,0
35,No,Travel_Rarely,22,3,Life Sciences,Male,46,1,3,Single,0,6,3,5,4
54,No,Travel_Rarely,8,4,Life Sciences,Female,42,2,3,Single,7,19,3,1,0
34,No,Travel_Rarely,2,4,Life Sciences,Male,62,1,3,Divorced,3,14,3,7,5
46,No,Travel_Rarely,10,3,Marketing,Female,94,3,4,Married,2,15,3,3,1
31,No,Travel_Rarely,9,1,Life Sciences,Male,33,3,2,Divorced,1,13,4,13,0
33,Yes,Travel_Rarely,15,1,Medical,Male,56,3,3,Married,7,15,4,7,7
33,Yes,Travel_Rarely,10,1,Medical,Male,38,1,4,Divorced,7,8,3,4,1
30,No,Travel_Rarely,7,1,Marketing,Male,57,1,2,Single,0,4,3,3,1
35,No,Travel_Rarely,16,3,Life Sciences,Male,72,3,3,Married,4,10,3,8,0
31,Yes,Travel_Frequently,20,3,Life Sciences,Male,66,3,3,Married,3,12,3,1,0
34,Yes,Travel_Frequently,23,3,Human Resources,Female,43,3,1,Divorced,9,11,3,3,0
42,No,Travel_Frequently,5,2,Other,Male,97,1,3,Married,4,8,3,2,2
36,No,Non-Travel,10,4,Medical,Male,32,3,4,Single,1,10,2,10,9
22,Yes,Travel_Frequently,4,1,Technical Degree,Male,99,1,3,Single,5,4,3,2,1
48,No,Travel_Rarely,2,5,Marketing,Female,37,2,4,Married,2,14,3,9,6
55,No,Travel_Rarely,18,5,Life Sciences,Female,83,4,2,Single,3,37,3,10,7
41,No,Non-Travel,10,2,Life Sciences,Male,56,2,4,Single,7,16,3,14,1
35,No,Travel_Rarely,1,3,Marketing,Male,85,2,3,Married,9,15,3,11,6
40,No,Travel_Rarely,6,3,Life Sciences,Female,75,4,3,Single,7,22,3,20,5
39,No,Travel_Frequently,8,1,Life Sciences,Female,48,1,3,Married,1,8,3,8,0
31,No,Travel_Rarely,2,1,Life Sciences,Male,77,2,4,Single,4,10,4,6,0
42,No,Travel_Rarely,24,3,Medical,Male,56,3,1,Married,1,10,2,10,5
45,No,Travel_Rarely,2,3,Other,Male,61,2,2,Married,0,9,4,8,3
26,Yes,Travel_Frequently,17,4,Life Sciences,Female,58,1,3,Divorced,0,8,2,7,1
29,No,Travel_Rarely,19,3,Technical Degree,Male,34,2,4,Divorced,4,8,4,3,1
33,No,Travel_Rarely,1,5,Medical,Female,95,4,3,Divorced,4,10,3,6,0
31,No,Travel_Rarely,7,3,Life Sciences,Male,44,3,4,Divorced,9,10,2,5,0
18,Yes,Travel_Frequently,5,3,Marketing,Male,69,1,2,Single,1,0,3,0,0
40,No,Non-Travel,28,3,Other,Male,58,3,1,Divorced,3,20,3,1,0
41,No,Non-Travel,2,4,Other,Female,62,2,3,Single,2,10,3,8,0
26,No,Travel_Rarely,29,2,Medical,Male,45,2,3,Divorced,5,8,3,0,0
35,No,Travel_Rarely,1,3,Medical,Female,80,2,3,Single,1,5,3,5,0
34,No,Travel_Rarely,21,4,Life Sciences,Male,74,2,4,Single,1,10,3,10,5
26,Yes,Travel_Rarely,24,3,Technical Degree,Male,66,1,4,Single,1,1,1,1,0
37,No,Travel_Rarely,1,3,Technical Degree,Female,59,3,4,Single,4,12,4,6,1
46,No,Travel_Frequently,18,1,Medical,Female,86,3,3,Married,5,28,2,2,1
41,No,Travel_Rarely,2,5,Life Sciences,Female,91,4,1,Married,7,22,3,18,11
37,No,Non-Travel,9,4,Medical,Male,69,3,2,Divorced,1,9,3,9,7
52,No,Travel_Rarely,6,2,Technical Degree,Male,78,2,1,Divorced,3,18,3,10,6
32,Yes,Non-Travel,11,4,Other,Male,60,2,3,Married,8,6,3,4,1
24,No,Travel_Frequently,24,3,Medical,Male,38,1,4,Married,0,3,3,2,2
38,No,Travel_Rarely,10,3,Medical,Female,76,2,3,Married,3,18,3,1,0
37,No,Travel_Rarely,1,4,Life Sciences,Female,65,2,2,Married,6,8,2,6,4
49,No,Travel_Rarely,18,4,Life Sciences,Male,58,5,3,Divorced,1,31,3,31,0
24,No,Travel_Rarely,23,3,Medical,Male,89,1,4,Married,1,6,3,6,1
26,No,Travel_Rarely,28,2,Marketing,Male,66,2,2,Married,1,6,4,5,1
24,No,Travel_Rarely,17,2,Other,Male,94,1,2,Married,1,1,3,1,0
50,No,Travel_Frequently,3,3,Medical,Male,99,5,2,Married,1,32,3,32,10
25,No,Travel_Rarely,13,1,Medical,Male,40,1,3,Married,1,7,3,7,0
24,Yes,Travel_Frequently,7,3,Life Sciences,Female,55,1,3,Married,1,6,3,6,1
30,Yes,Travel_Frequently,12,4,Life Sciences,Male,74,1,1,Married,1,1,4,1,0
34,No,Travel_Rarely,1,2,Life Sciences,Male,83,1,4,Married,1,6,3,6,1
31,Yes,Travel_Rarely,13,4,Medical,Male,46,2,1,Divorced,2,9,1,3,1
35,No,Travel_Rarely,25,2,Other,Male,54,2,4,Single,4,9,3,3,0
31,No,Travel_Rarely,6,4,Medical,Male,66,2,4,Divorced,4,13,4,7,5
27,No,Travel_Rarely,6,4,Medical,Female,66,1,3,Divorced,0,6,2,5,0
37,No,Travel_Rarely,2,3,Marketing,Male,75,2,3,Married,4,17,2,3,1
20,No,Travel_Rarely,1,3,Life Sciences,Female,83,1,2,Single,1,1,4,1,0
42,No,Travel_Rarely,2,4,Life Sciences,Female,81,2,4,Married,1,10,3,10,2
43,No,Travel_Rarely,6,4,Other,Male,50,4,4,Divorced,4,21,2,1,0
38,No,Travel_Rarely,1,1,Life Sciences,Female,43,1,1,Single,3,8,2,0,0
43,No,Travel_Frequently,9,5,Medical,Male,72,2,3,Divorced,3,10,3,8,4
48,No,Travel_Rarely,1,4,Life Sciences,Female,40,4,1,Married,7,21,1,3,0
44,No,Travel_Rarely,1,4,Life Sciences,Female,50,2,3,Single,4,10,4,2,0
34,No,Travel_Rarely,14,3,Technical Degree,Female,31,1,3,Divorced,1,8,3,8,0
27,Yes,Travel_Rarely,2,1,Marketing,Male,85,1,1,Divorced,0,5,3,4,0
21,No,Travel_Rarely,22,1,Technical Degree,Male,49,1,3,Single,1,3,3,3,1
44,No,Travel_Rarely,3,4,Other,Male,35,5,4,Married,4,26,4,2,0
22,No,Travel_Rarely,6,1,Medical,Male,69,1,3,Married,0,3,3,2,2
33,No,Travel_Rarely,8,4,Marketing,Male,39,2,3,Divorced,0,6,3,5,1
32,No,Travel_Rarely,9,4,Life Sciences,Female,92,2,4,Married,1,6,2,6,0
30,No,Travel_Frequently,3,3,Medical,Female,71,1,3,Divorced,1,1,3,1,0
53,No,Travel_Rarely,1,1,Medical,Female,34,2,1,Single,7,18,4,14,8
34,No,Travel_Rarely,1,5,Life Sciences,Male,42,1,4,Married,1,10,2,10,8
45,Yes,Travel_Frequently,26,4,Life Sciences,Female,100,2,1,Married,2,5,3,1,0
26,No,Travel_Rarely,6,3,Life Sciences,Female,71,1,4,Married,1,3,3,3,0
37,No,Travel_Rarely,3,3,Other,Male,36,3,3,Married,1,10,3,10,7
29,No,Travel_Rarely,3,2,Medical,Female,62,2,3,Married,1,6,2,6,1
35,No,Travel_Rarely,6,4,Life Sciences,Male,82,2,4,Single,1,17,3,17,11
33,No,Travel_Frequently,6,3,Life Sciences,Male,30,2,4,Divorced,3,15,1,13,4
54,No,Travel_Rarely,19,4,Medical,Male,88,3,2,Married,2,16,4,9,7
36,No,Travel_Rarely,9,2,Medical,Male,48,2,2,Divorced,2,13,3,3,0
27,No,Travel_Rarely,3,4,Medical,Male,54,1,4,Single,0,5,3,4,1
20,Yes,Travel_Rarely,10,1,Medical,Male,32,1,3,Single,1,1,3,1,1
33,Yes,Travel_Frequently,3,3,Life Sciences,Male,70,1,1,Single,1,10,3,10,9
35,No,Non-Travel,3,3,Life Sciences,Male,41,1,3,Married,1,1,3,1,0
23,No,Travel_Rarely,4,3,Medical,Male,58,1,1,Married,2,5,4,3,0
25,No,Travel_Rarely,8,3,Life Sciences,Male,57,2,2,Married,0,4,3,3,1
38,No,Travel_Rarely,7,4,Marketing,Female,46,2,4,Single,0,8,3,7,0
29,No,Travel_Frequently,1,4,Life Sciences,Male,76,1,4,Divorced,1,10,3,10,2
48,No,Travel_Rarely,2,1,Marketing,Male,56,2,2,Married,3,12,3,2,2
27,No,Travel_Frequently,3,1,Medical,Female,71,2,4,Divorced,1,6,3,6,0
37,No,Travel_Rarely,10,2,Life Sciences,Male,80,1,4,Single,3,4,3,1,0
50,No,Travel_Rarely,28,1,Medical,Male,74,1,3,Married,1,20,3,20,3
34,No,Travel_Rarely,9,3,Medical,Female,46,3,2,Single,1,9,4,8,7
24,Yes,Travel_Rarely,3,2,Life Sciences,Female,65,2,3,Single,9,4,3,2,2
39,No,Travel_Rarely,2,4,Technical Degree,Female,80,2,3,Single,1,20,3,20,11
32,No,Travel_Rarely,10,3,Marketing,Male,55,2,4,Single,1,10,2,10,0
50,Yes,Travel_Frequently,8,2,Technical Degree,Male,50,2,3,Married,3,18,3,4,1
38,No,Travel_Rarely,1,4,Life Sciences,Female,33,2,4,Single,0,10,2,9,1
27,No,Travel_Rarely,1,2,Life Sciences,Female,68,3,1,Married,1,9,3,9,0
32,No,Travel_Rarely,3,2,Life Sciences,Female,39,3,4,Single,3,10,3,7,7
47,No,Travel_Rarely,14,4,Marketing,Male,42,2,1,Single,2,20,3,7,1
40,No,Travel_Frequently,5,4,Life Sciences,Male,48,3,1,Married,5,20,3,18,1
53,No,Travel_Rarely,7,3,Life Sciences,Male,59,4,3,Married,3,32,3,5,1
41,No,Travel_Rarely,10,4,Human Resources,Male,73,5,4,Divorced,3,23,2,21,12
60,No,Travel_Rarely,16,4,Marketing,Male,84,2,1,Single,8,10,3,2,2
27,No,Travel_Frequently,10,2,Life Sciences,Male,32,3,1,Divorced,1,9,2,9,1
41,No,Travel_Rarely,1,3,Human Resources,Male,59,5,3,Married,1,22,3,22,2
50,No,Travel_Rarely,8,4,Marketing,Male,54,1,2,Married,7,4,3,2,2
28,Yes,Travel_Rarely,1,2,Life Sciences,Female,67,1,2,Single,7,10,3,7,3
36,No,Non-Travel,8,3,Life Sciences,Female,63,3,1,Married,9,10,3,8,0
38,No,Travel_Rarely,1,3,Life Sciences,Female,81,3,3,Single,4,10,4,1,0
44,No,Non-Travel,24,3,Medical,Male,49,1,3,Single,2,9,3,5,1
47,No,Travel_Frequently,3,3,Medical,Female,49,4,3,Divorced,9,28,2,22,11
30,No,Travel_Rarely,27,5,Marketing,Male,99,2,4,Divorced,7,10,2,8,7
29,No,Travel_Rarely,10,3,Life Sciences,Male,99,1,3,Single,1,1,3,1,0
42,Yes,Travel_Frequently,19,3,Medical,Male,57,1,3,Divorced,6,7,3,2,2
43,No,Travel_Frequently,15,3,Life Sciences,Male,47,2,4,Married,3,7,3,2,2
34,No,Travel_Rarely,8,2,Medical,Female,96,2,3,Single,3,10,3,5,4
23,No,Travel_Rarely,9,1,Medical,Male,37,1,1,Married,1,5,4,4,0
39,No,Travel_Rarely,3,3,Human Resources,Female,44,2,2,Married,9,12,1,8,3
56,No,Travel_Rarely,9,3,Medical,Male,81,4,4,Married,7,30,2,10,1
40,No,Travel_Rarely,2,1,Medical,Female,86,1,4,Single,0,5,2,4,2
27,No,Travel_Rarely,7,3,Medical,Female,55,2,1,Single,8,9,1,7,0
29,No,Travel_Rarely,10,3,Marketing,Male,83,1,2,Divorced,1,2,3,2,2
53,No,Travel_Rarely,6,3,Life Sciences,Male,86,2,4,Single,2,19,3,2,2
35,No,Non-Travel,2,4,Life Sciences,Female,61,2,1,Divorced,2,16,4,1,0
32,No,Travel_Frequently,24,4,Life Sciences,Male,80,2,4,Married,1,10,3,10,4
38,No,Travel_Rarely,2,5,Medical,Male,92,1,3,Married,6,6,1,1,0
34,No,Travel_Rarely,8,5,Life Sciences,Female,32,2,1,Divorced,3,7,3,0,0
52,No,Travel_Rarely,3,4,Marketing,Male,31,4,1,Married,1,34,4,34,1
33,Yes,Travel_Rarely,1,4,Other,Male,63,1,4,Single,1,10,2,10,7
25,No,Travel_Rarely,26,1,Medical,Female,32,2,4,Single,1,6,2,6,1
45,No,Travel_Rarely,2,2,Technical Degree,Male,46,2,3,Single,0,9,3,8,3
23,No,Travel_Rarely,10,1,Medical,Male,79,1,3,Single,1,2,3,2,0
47,Yes,Travel_Frequently,27,2,Life Sciences,Female,77,2,3,Single,4,8,3,5,1
34,No,Travel_Rarely,2,3,Other,Male,60,2,4,Single,1,6,3,6,1
55,Yes,Travel_Rarely,2,3,Medical,Male,78,5,1,Married,5,24,3,5,1
36,No,Non-Travel,8,4,Life Sciences,Male,76,3,1,Single,1,10,3,10,0
52,No,Non-Travel,19,4,Medical,Male,41,1,4,Married,0,5,3,4,1
26,No,Travel_Frequently,1,2,Life Sciences,Female,71,1,4,Divorced,3,5,3,2,2
29,No,Travel_Rarely,27,3,Medical,Female,66,2,3,Married,4,11,2,8,1
26,Yes,Travel_Rarely,8,3,Technical Degree,Male,38,2,1,Single,6,6,2,4,1
34,No,Travel_Rarely,1,4,Life Sciences,Female,72,1,4,Single,2,10,3,4,1
54,No,Travel_Rarely,19,4,Medical,Female,95,2,1,Divorced,9,9,3,5,1
27,No,Travel_Frequently,8,1,Marketing,Male,84,2,4,Married,0,5,3,4,1
37,No,Travel_Rarely,10,1,Life Sciences,Female,82,1,1,Divorced,0,6,2,5,4
38,No,Travel_Frequently,2,4,Life Sciences,Female,75,2,1,Single,6,17,3,15,4
34,No,Travel_Rarely,2,4,Medical,Female,86,1,1,Single,1,6,3,6,1
35,No,Travel_Rarely,8,4,Life Sciences,Female,72,1,4,Married,1,3,2,3,0
30,No,Travel_Rarely,1,3,Life Sciences,Male,38,1,3,Married,3,7,3,2,0
40,No,Travel_Frequently,2,2,Medical,Female,38,2,2,Married,1,8,3,8,3
34,No,Travel_Rarely,8,2,Life Sciences,Female,93,2,1,Married,5,6,3,3,1
42,No,Travel_Frequently,8,3,Life Sciences,Male,66,5,4,Divorced,1,24,2,24,14
23,Yes,Travel_Rarely,6,3,Life Sciences,Male,63,1,1,Married,1,1,3,0,0
24,No,Non-Travel,9,3,Life Sciences,Male,60,1,2,Divorced,1,1,3,1,0
52,No,Travel_Rarely,11,4,Life Sciences,Female,82,2,3,Married,8,9,3,5,1
50,No,Travel_Rarely,2,3,Medical,Male,64,4,3,Married,5,30,3,4,0
29,Yes,Travel_Rarely,1,2,Life Sciences,Female,36,1,1,Married,1,1,3,1,0
33,No,Travel_Rarely,7,3,Medical,Male,49,3,3,Married,0,14,4,13,3
33,Yes,Travel_Rarely,16,3,Marketing,Female,69,2,1,Single,5,6,3,3,0
47,No,Travel_Rarely,2,2,Other,Female,33,4,4,Married,1,26,2,26,3
36,No,Travel_Rarely,1,3,Other,Female,35,2,2,Married,0,10,3,9,0
29,No,Travel_Rarely,23,2,Life Sciences,Male,81,1,3,Married,1,10,3,10,0
58,Yes,Travel_Rarely,2,4,Life Sciences,Male,31,5,2,Single,7,40,3,31,13
35,No,Travel_Rarely,1,4,Life Sciences,Female,40,1,3,Single,3,7,3,2,2
42,No,Travel_Rarely,1,2,Life Sciences,Female,43,2,4,Married,9,8,3,4,0
28,Yes,Travel_Rarely,2,4,Medical,Male,46,1,3,Single,6,5,2,2,2
36,No,Travel_Rarely,13,3,Human Resources,Male,36,1,2,Married,4,8,3,5,0
32,No,Travel_Rarely,4,3,Life Sciences,Female,98,2,3,Married,1,14,3,14,6
40,No,Travel_Frequently,16,4,Medical,Male,51,2,3,Single,6,10,3,1,0
30,No,Travel_Rarely,2,3,Medical,Female,52,2,4,Single,5,12,2,0,0
45,No,Travel_Rarely,2,3,Life Sciences,Female,95,1,3,Single,1,1,3,1,0
42,No,Travel_Rarely,29,3,Life Sciences,Male,98,2,2,Married,1,10,2,9,7
38,No,Travel_Frequently,12,3,Life Sciences,Male,45,2,1,Divorced,2,13,2,4,1
34,No,Travel_Frequently,16,4,Life Sciences,Female,100,1,4,Single,1,6,3,5,1
49,Yes,Travel_Rarely,11,3,Marketing,Female,43,3,4,Married,1,9,4,9,7
55,Yes,Travel_Rarely,2,1,Medical,Male,37,2,4,Single,4,12,2,9,7
43,No,Travel_Rarely,14,2,Life Sciences,Male,94,4,1,Married,6,22,3,4,1
27,No,Travel_Rarely,5,1,Technical Degree,Male,42,3,4,Divorced,1,9,3,9,0
